Plant,Total_Absorbed,Total_Fixed,Total_Growth
Zostera marina,6943.366268346831,107.05062387649176,16500.000000000004
Kelp,6958.029410184497,114.14869449710291,10999.999999999998
Chlorella,6958.030386236053,42.313763800002924,8250.000000000002
