step,total_absorbed,total_fixed,total_growth
0,0,0,0
1,30.034331697591146,24.02746535807288,1.0512016094156909
2,44.65081086328654,35.72064869062906,1.5627783802150181
3,61.033226720151774,48.826581376121595,2.1361629352052995
4,72.39071216315598,57.91256973052502,2.5336749257104545
5,79.7875479873332,63.8300383898669,2.7925641795566865
6,87.55336094454763,70.04268875563797,3.0643676330591876
7,89.16287393330111,71.33029914664029,3.1207005876655542
8,94.50220515110988,75.60176412088741,3.307577180288865
9,96.81538894899458,77.4523111591951,3.388538613214827
10,100.27042185445623,80.21633748356415,3.509464764906
11,102.5805415338361,82.06443322706758,3.590318953684294
12,104.42436887088466,83.53949509670666,3.6548529104810052
13,106.19262820197837,84.95410256158198,3.7167419870692964
14,106.91681449899188,85.5334515991927,3.7420885074647656
15,108.21772995653825,86.57418396522972,3.787620548478885
16,108.8354666191436,87.06837329531403,3.809241331670075
17,109.95919816493998,87.9673585319512,3.8485719357729526
18,111.20686159983977,88.9654892798714,3.892240155994454
19,112.15749385280989,89.7259950822475,3.9255122848484074
20,113.00307323218509,90.40245858574774,3.9551075631265493
21,113.56369636458395,90.85095709166721,3.974729372760522
22,114.19171926605428,91.35337541284355,3.996710174311979
23,114.53977234307604,91.63181787446095,4.008892032007749
24,115.32679481265728,92.26143585012582,4.036437818443085
25,115.81790543580202,92.65432434864204,4.053626690253161
26,116.31815346785388,93.05452277428321,4.071135371374964
27,117.20271817371496,93.7621745389718,4.102095136080087
28,117.61494405279562,94.09195524223621,4.116523041847907
29,118.24676193588947,94.59740954871121,4.138636667756193
30,118.24676193588947,94.59740954871121,4.138636667756193
31,119.15706317488807,95.32565053991003,4.170497211121158
32,119.80018684951582,95.84014947961228,4.193006539733125
33,120.53851455889703,96.43081164711744,4.218848009561476
34,121.0660441398865,96.85283531190882,4.237311544896114
35,121.62177498339044,97.29741998671211,4.25676212441875
36,122.70142010506663,98.1611360840532,4.294549703677408
37,122.83966935216868,98.27173548173491,4.299388427325974
38,123.70366988793187,98.9629359103454,4.329628446077678
39,124.38361651502562,99.50689321202054,4.353426578025959
40,125.19384666965576,100.15507733572451,4.381784633438009
41,126.02690985630389,100.82152788504312,4.410941844970688
42,126.83587857718294,101.46870286174625,4.439255750201446
43,127.58830895747182,102.0706471659771,4.46559081351156
44,127.97715961501767,102.38172769201387,4.479200586525669
45,130.04067810098863,104.03254248079064,4.5514237335346435
46,130.770420690753,104.61633655260184,4.576964724176395
47,132.0943863863037,105.67550910904255,4.623303523520672
48,133.139659075453,106.51172726036188,4.6598880676409005
49,134.38746510552738,107.50997208442136,4.7035612786935
50,135.51413325308272,108.4113066024657,4.742994663857941
51,136.24614342744198,108.9969147419534,4.768615019960533
52,138.25875170721827,110.60700136577451,4.839056309752709
53,138.7029967972725,110.96239743781803,4.854604887904608
54,140.3431944246379,112.27455553971045,4.912011804862398
55,141.44000784729144,113.15200627783327,4.950400274655263
56,142.7669347758087,114.2135478206472,4.996842717153372
57,144.19820350804918,115.35856280643956,5.046937122781792
58,145.06004799432108,116.04803839545731,5.077101679801315
59,146.4204763787548,117.1363811030043,5.124716673256499
60,146.4204763787548,117.1363811030043,5.124716673256499
61,147.65846256689375,118.12677005351529,5.168046189841361
62,148.5242310366763,118.81938482934144,5.19834808628375
63,149.75582577034913,119.80466061627968,5.241453901962289
64,151.10130193779455,120.88104155023603,5.288545567822882
65,152.3800938211655,121.90407505693268,5.333303283740865
66,154.15541965851128,123.32433572680934,5.395439688047967
67,154.50192576588088,123.60154061270504,5.407567401805912
68,155.97482677956575,124.77986142365296,5.459118937284878
69,156.4142324419067,125.13138595352568,5.474498135466815
70,157.53305708391827,126.02644566713492,5.513656997937213
71,158.20854235041747,126.5668338803343,5.537298982264682
72,158.9507316538852,127.16058532310863,5.563275607886059
73,159.56733448937666,127.65386759150174,5.584856707128253
74,160.07709776573947,128.06167821259206,5.602698421800949
75,160.77130034098477,128.61704027278827,5.626995511934537
76,161.18299935470714,128.9463994837662,5.641404977414819
77,161.71095991220298,129.36876792976292,5.659883596927164
78,162.23283414147662,129.78626731318175,5.678149194951739
79,162.77342711663832,130.2187416933114,5.697069949082402
80,163.81321195418775,131.05056956335105,5.73346241839664
81,164.44595917259343,131.55676733807562,5.755608571040838
82,165.7591305870803,132.6073044696652,5.801569570547881
83,165.94783559048182,132.7582684723865,5.808174245666937
84,167.13782428427584,133.71025942742165,5.849823849949726
85,167.8288043057993,134.26304344464035,5.874008150703052
86,168.29607390301507,134.63685912241303,5.890362586605601
87,169.17025838903373,135.33620671122782,5.920959043616248
88,169.55100193450227,135.64080154760248,5.934285067707642
89,169.9908254451125,135.99266035609085,5.949678890579009
90,169.9908254451125,135.99266035609085,5.949678890579009
91,170.7090472796054,136.56723782368516,5.974816654786263
92,170.9779808351952,136.78238466815702,5.984229329231911
93,171.65793709618032,137.3263496769451,6.008027798366386
94,172.22931712152047,137.78345369721706,6.028026099253285
95,172.72812411530754,138.18249929224672,6.045484344035832
96,173.536978611214,138.8295828889719,6.07379425139256
97,173.65887856262117,138.92710285009747,6.078060749691806
98,174.3633436979404,139.4906749583528,6.102717029427982
99,174.76866812118467,139.8149344969482,6.116903384241535
100,175.42228158207993,140.33782526566426,6.139779855372868
101,176.08591113864287,140.86872891091465,6.163006889852566
102,176.61614955441738,141.29291964353425,6.181565234404671
103,177.15415026078233,141.723320208626,6.200395259127444
104,177.57608555083556,142.06086844066854,6.215162994279301
105,178.52818387644274,142.82254710115427,6.248486435675551
106,178.8174169560148,143.05393356481196,6.258609593460569
