x_bin,y_bin,amount
0,3,21.906391815363598
0,4,13.167626231338371
0,0,102.47153069549194
0,1,188.73582608932486
0,2,112.63551106302653
1,2,106.44158478726592
1,7,15.497206341964613
1,8,44.60411854469195
1,9,224.93975072434984
1,5,108.07337045523401
1,3,53.7384455663573
1,6,115.28056382440211
2,3,171.2722523317769
2,5,33.19629974614519
2,6,175.8635860432949
2,9,1.9762368055667177
2,0,71.43118517343086
2,1,223.90098851275025
2,2,241.392926002335
3,1,79.15682792608294
3,2,119.03070864344876
3,9,368.4139213683909
4,1,60.61552245023867
4,7,273.84385445849193
4,0,28.033408438019563
4,2,59.41517630537547
5,1,71.9894591538035
5,2,17.149083775960086
5,9,231.63066696651697
6,8,276.0074482063734
6,7,113.72836290515284
6,2,152.49534863616094
7,3,70.34128313249322
7,2,330.69364174629607
7,7,30.358416387633575
7,8,48.68968752376682
7,0,176.4559875207343
7,1,94.35594492897158
7,5,263.57339775539
8,1,189.06294938108098
8,5,344.1204682924207
8,2,78.90817505570284
8,4,108.89112376507741
8,8,198.6339297612127
9,2,292.9914354668279
9,8,115.68474927385753
9,3,54.93017765933764
9,1,99.01458607066583
9,6,616.1143592923427
9,7,115.16119262800396
9,9,110.07409725654439
1,4,77.14145073401127
2,4,10.832805183633287
8,0,25.88616464291809
3,0,7.0
