step,total_absorbed_mgC,total_fixed_mgC,total_growth_mgC
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,1.0614401049368067,0.9552960944431234,0.004245760419747225
3,3.6105951807936756,3.2495356627143104,0.014442380723174674
4,7.030655067418704,6.32758956067683,0.028122620269674596
5,10.203140214901492,9.182826193411369,0.04081256085960566
6,13.948243607218876,12.553419246497006,0.055792974428875014
7,15.064368170207505,13.557931353186746,0.06025747268082926
8,17.777062177228025,15.999355959505191,0.07110824870891119
9,18.964559692979595,17.068103723681492,0.0758582387719175
10,19.779081388543602,17.801173249689132,0.07911632555417349
11,19.779081388543602,17.801173249689132,0.07911632555417349
12,19.779081388543602,17.801173249689132,0.07911632555417349
13,19.779081388543602,17.801173249689132,0.07911632555417349
14,19.779081388543602,17.801173249689132,0.07911632555417349
15,19.779081388543602,17.801173249689132,0.07911632555417349
16,19.779081388543602,17.801173249689132,0.07911632555417349
17,19.779081388543602,17.801173249689132,0.07911632555417349
18,19.779081388543602,17.801173249689132,0.07911632555417349
19,19.779081388543602,17.801173249689132,0.07911632555417349
20,19.779081388543602,17.801173249689132,0.07911632555417349
21,19.779081388543602,17.801173249689132,0.07911632555417349
22,19.779081388543602,17.801173249689132,0.07911632555417349
23,19.779081388543602,17.801173249689132,0.07911632555417349
24,19.779081388543602,17.801173249689132,0.07911632555417349
25,19.779081388543602,17.801173249689132,0.07911632555417349
26,20.481251568795926,18.43312641191617,0.08192500627518286
27,21.918107370728645,19.726296633655664,0.08767242948291404
28,23.421594852682524,21.079435367414163,0.09368637941072948
29,25.650928792436833,23.085835913193034,0.10260371516974669
30,25.650928792436833,23.085835913193034,0.10260371516974669
31,27.773394542580156,24.99605508832198,0.11109357817031992
32,28.99785365901248,26.098068293111034,0.1159914146360492
33,30.01190032582729,27.01071029324438,0.12004760130330845
34,30.47220536108302,27.42498482497453,0.12188882144433148
35,30.47220536108302,27.42498482497453,0.12188882144433148
36,30.47220536108302,27.42498482497453,0.12188882144433148
37,30.47220536108302,27.42498482497453,0.12188882144433148
38,30.47220536108302,27.42498482497453,0.12188882144433148
39,30.47220536108302,27.42498482497453,0.12188882144433148
40,30.47220536108302,27.42498482497453,0.12188882144433148
41,30.47220536108302,27.42498482497453,0.12188882144433148
42,30.47220536108302,27.42498482497453,0.12188882144433148
43,30.47220536108302,27.42498482497453,0.12188882144433148
44,30.47220536108302,27.42498482497453,0.12188882144433148
45,30.47220536108302,27.42498482497453,0.12188882144433148
46,30.47220536108302,27.42498482497453,0.12188882144433148
47,30.47220536108302,27.42498482497453,0.12188882144433148
48,30.47220536108302,27.42498482497453,0.12188882144433148
49,30.47220536108302,27.42498482497453,0.12188882144433148
50,30.913049649549663,27.821744684594496,0.123652198598198
51,31.47247099524025,28.325223895715972,0.1258898839809602
52,32.623512188641776,29.36116096977741,0.1304940487545667
53,33.087036113440526,29.778332502096212,0.13234814445376125
54,34.47754802296359,31.029793220666928,0.13791019209185365
55,35.5345740437403,31.981116639365982,0.1421382961749606
56,36.55566071108658,32.90009463997767,0.14622264284434544
57,37.249514032309655,33.52456262907839,0.14899805612923753
58,37.507051481956076,33.756346333760135,0.1500282059278231
59,37.507051481956076,33.756346333760135,0.1500282059278231
60,37.507051481956076,33.756346333760135,0.1500282059278231
61,37.507051481956076,33.756346333760135,0.1500282059278231
62,37.507051481956076,33.756346333760135,0.1500282059278231
63,37.507051481956076,33.756346333760135,0.1500282059278231
64,37.507051481956076,33.756346333760135,0.1500282059278231
65,37.507051481956076,33.756346333760135,0.1500282059278231
66,37.507051481956076,33.756346333760135,0.1500282059278231
67,37.507051481956076,33.756346333760135,0.1500282059278231
68,37.507051481956076,33.756346333760135,0.1500282059278231
69,37.507051481956076,33.756346333760135,0.1500282059278231
70,37.507051481956076,33.756346333760135,0.1500282059278231
71,37.507051481956076,33.756346333760135,0.1500282059278231
72,37.507051481956076,33.756346333760135,0.1500282059278231
73,37.507051481956076,33.756346333760135,0.1500282059278231
74,37.700610849716156,33.9305497647442,0.15080244339886367
75,38.43486064329872,34.591374578968455,0.15373944257319397
76,38.95986661317788,35.06387995185967,0.1558394664527106
77,40.059945539467826,36.05395098552064,0.1602397821578704
78,40.983513764255946,36.8851623878299,0.163934055057023
79,41.82521234777901,37.64269111300069,0.16730084939111525
80,42.547823437744114,38.293041093969265,0.1701912937509756
81,42.88666777931203,38.598001001380425,0.17154667111724722
82,43.14931551342013,38.834383962077645,0.17259726205367948
83,43.14931551342013,38.834383962077645,0.17259726205367948
84,43.14931551342013,38.834383962077645,0.17259726205367948
85,43.14931551342013,38.834383962077645,0.17259726205367948
86,43.14931551342013,38.834383962077645,0.17259726205367948
87,43.14931551342013,38.834383962077645,0.17259726205367948
88,43.14931551342013,38.834383962077645,0.17259726205367948
89,43.14931551342013,38.834383962077645,0.17259726205367948
90,43.14931551342013,38.834383962077645,0.17259726205367948
91,43.14931551342013,38.834383962077645,0.17259726205367948
92,43.14931551342013,38.834383962077645,0.17259726205367948
93,43.14931551342013,38.834383962077645,0.17259726205367948
94,43.14931551342013,38.834383962077645,0.17259726205367948
95,43.14931551342013,38.834383962077645,0.17259726205367948
96,43.14931551342013,38.834383962077645,0.17259726205367948
97,43.14931551342013,38.834383962077645,0.17259726205367948
98,43.42065101155586,39.07858591039983,0.17368260404622232
99,43.764029561071666,39.38762660496409,0.1750561182442856
100,44.550519782941294,40.09546780464676,0.17820207913176417
101,45.3960860181854,40.85647741636649,0.18158434407274068
102,46.14084277741651,41.526758499674465,0.18456337110966506
