step,total_absorbed_mgC,total_fixed_mgC,total_growth_mgC
0,0.0,0.0,0.0
<<<<<<< HEAD
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
=======
1,31.373442028057,25.098753622445564,1.0980704709819957
2,46.566938320031205,37.25355065602484,1.6298428412010808
3,63.72216152850375,50.97772922280327,2.2302756534976154
4,75.8372621640703,60.66980973125661,2.6543041757424515
5,83.70672881033603,66.96538304826957,2.9297355083617886
6,91.37809482261879,73.1024758580952,3.198233318791677
7,93.09694711976955,74.47755769581524,3.258393149191951
8,98.83065033118018,79.0645202649439,3.4590727615913264
9,101.54982031364972,81.23985625091942,3.554243710977757
10,105.42688555381618,84.3415084430522,3.689940994383598
11,107.86109345568754,86.28887476454868,3.775138270949089
12,109.6662393485697,87.73299147885476,3.838318377199978
13,111.37215799919832,89.09772639935811,3.8980255299719953
14,112.03357206936631,89.62685765549234,3.921175022427868
15,113.52549479050522,90.8203958324034,3.973392317667725
16,113.99160285055778,91.19328228044554,3.98970609976957
17,115.13993766056083,92.11195012844802,4.029897818119666
18,115.89146341328606,92.71317073062873,4.056201219465068
19,116.7894801816027,93.43158414528195,4.087631806356146
20,117.54395578589555,94.03516462871629,4.11403845250642
21,118.19243627084995,94.55394901668032,4.136735269479827
22,119.01791199029707,95.21432959223812,4.165626919660442
23,119.40945950127542,95.52756760102086,4.179331082544686
24,120.72737281222135,96.58189824977747,4.225458048427782
25,121.43078079673275,97.14462463738718,4.250077327885696
26,122.49132868984609,97.9930629518775,4.287196504144649
27,123.58575174397399,98.8686013951794,4.325501311039101
28,124.3234666978704,99.45877335829647,4.351321334425474
29,125.43824326456675,100.35059461165339,4.390338514259847
30,125.43824326456675,100.35059461165339,4.390338514259847
31,126.42187197282955,101.1374975782636,4.424765519049062
32,126.98568550839263,101.58854840671421,4.444498992793763
33,127.8391164333445,102.271293146676,4.474369075167092
34,128.6784504843616,102.94276038748946,4.503745766952695
35,129.61527962853282,103.69222370282657,4.536534786998687
36,130.75900887601082,104.60720710080889,4.576565310660394
37,131.1034663308776,104.88277306470266,4.588621321580739
38,132.513785252017,106.01102820161437,4.637982483820617
39,133.18229554570735,106.54583643656665,4.661380344099773
40,134.09311471735094,107.2744917738819,4.693259015107314
41,134.86328730380424,107.89062984304465,4.720215055633168
42,135.45902100873502,108.36721680698899,4.741065735305725
43,136.57511787479984,109.26009429984109,4.780129125618018
44,137.1428397021563,109.71427176172622,4.799999389575493
45,138.6557001963871,110.9245601571106,4.852949506873553
46,139.09557233370785,111.27645786696678,4.868345031679773
47,139.9276442658616,111.94211541268986,4.897467549305158
48,140.43701305371619,112.3496104429734,4.915295456880069
49,141.22037210822262,112.97629768657843,4.942713023787788
50,142.40798127338005,113.92638501870448,4.984279344568301
51,143.0681689560484,114.45453516483943,5.007385913461709
52,143.95863479287542,115.16690783430121,5.038552217750669
53,144.2043583848291,115.36348670786424,5.047152543469049
54,145.4506097140847,116.36048777126882,5.090771339992993
55,146.80133184133967,117.44106547307267,5.138046614446903
56,148.54162407481945,118.83329925985655,5.198956842618692
57,149.88689170648678,119.90951336519046,5.246041209727059
58,150.76509200687,120.61207360549737,5.276778220240477
59,152.28447845482398,121.82758276386063,5.329956745918872
60,152.28447845482398,121.82758276386063,5.329956745918872
61,153.6223027786292,122.89784222290476,5.37678059725206
62,154.2194770017747,123.37558160142139,5.397681695062154
63,156.00187716024087,124.8015017281942,5.460065700608448
64,156.93668494489233,125.54934795591534,5.49278397307125
65,157.64957983528214,126.11966386822702,5.51773529423489
66,158.68036713344483,126.94429370675716,5.553812849670588
67,158.79131974144278,127.03305579315563,5.557696190950521
68,160.05442414904388,128.04353931923657,5.601904845216559
69,160.99927007074996,128.79941605660161,5.6349744524762775
70,162.80559943731012,130.2444795498496,5.698195980305878
71,164.09530464013278,131.27624371210774,5.743335662404667
72,165.2650524584473,132.21204196675936,5.784276836045679
73,166.80084156025944,133.44067324820892,5.838029454609103
74,167.51944121016152,134.01555296813052,5.863180442355679
75,168.93073421275406,135.1445873702044,5.912575697446416
76,169.613518845471,135.69081507637776,5.93647315959151
77,170.7230345189713,136.57842761517784,5.97530620816402
78,171.91606186970068,137.53284949576167,6.0170621654395475
79,173.28639208147595,138.62911366518208,6.065023722851681
80,175.11949989517979,140.0955999161452,6.129182496331316
81,175.9556100300036,140.76448802400438,6.158446351050149
82,176.80671599332754,141.44537279466368,6.18823505976649
83,177.07048982634655,141.65639186107896,6.197467143922152
84,178.5296452912667,142.82371623301486,6.248537585194363
85,179.7520792328211,143.80166338625813,6.29132277314876
86,181.0772928578266,144.8618342862627,6.337705250023951
87,182.0584338542439,145.64674708339646,6.372045184898551
88,182.68815519402597,146.1505241552219,6.394085431790918
89,183.84421344861158,147.07537075889056,6.434547470701422
90,183.84421344861158,147.07537075889056,6.434547470701422
91,184.68609167533316,147.74887334026778,6.464013208636681
92,185.681158105287,148.54492648423079,6.498840533685065
93,186.5686258522611,149.25490068181,6.529901904829151
94,187.36658615492556,149.89326892394126,6.557830515422397
95,188.23499369796667,150.58799495837434,6.588224779428833
96,189.38009147748858,151.50407318199177,6.628303201712098
97,189.6872683815175,151.74981470521487,6.639054393353102
98,191.11215670845954,152.88972536676854,6.688925484796078
99,191.82091060008182,153.45672848006635,6.713731871002862
100,192.97490521545132,154.3799241723617,6.75412168254079
101,194.1050796322852,155.28406370582886,6.793677787129975
102,195.0957236289811,156.07657890318535,6.828350327014327
103,195.99994762850608,156.7999581028053,6.8599981669976975
104,196.37844132298127,157.1027530583855,6.873245446304332
105,197.51428228984747,158.01142583187828,6.9129998801446435
106,197.89060470847627,158.31248376678136,6.926171164796655
107,198.77807802692172,159.02246242153768,6.957232730942249
108,199.5652469646931,159.65219757175515,6.984783643764253
109,200.29633484254506,160.23706787403674,7.010371719489069
110,201.23192645145807,160.98554116116708,7.043117425801024
111,201.84317358796451,161.47453887037219,7.064511075578753
112,203.4149115905354,162.73192927242903,7.119521905668736
113,203.67057973123613,162.93646378498983,7.128470290593263
114,204.8945992188455,163.91567937507753,7.171310972659593
115,205.66720424769494,164.53376339815722,7.19835214866932
116,206.4589209193739,165.1671367355004,7.226062232178087
117,207.24905703310029,165.79924562648148,7.253716996158509
118,207.88661617597492,166.30929294078118,7.276031566159122
119,208.58361810314636,166.86689448251818,7.300426633610121
120,208.58361810314636,166.86689448251818,7.300426633610121
121,209.46808320568988,167.5744665645529,7.3313829121991425
122,209.93938340892691,167.9515067271425,7.347878419312435
123,210.74544428894788,168.59635543115937,7.376090550113168
124,211.47713608025097,169.18170886420182,7.401699762808775
125,212.07164654888794,169.65731723911136,7.422507629211071
126,212.8498666114182,170.27989328913552,7.449745331399627
127,213.0706379371629,170.45651034973136,7.457472327800698
128,213.68167139748923,170.94533711799227,7.478858498912118
129,213.93379101657487,171.14703281326067,7.487682685580111
130,214.73915590755945,171.7913247260483,7.5158704567645715
131,215.42513949026514,172.34011159221274,7.539879882159273
132,215.82955422910726,172.66364338328634,7.5540343980187465
133,216.4188348500368,173.13506788003,7.574659219751284
134,216.73787260115654,173.39029808092573,7.585825541040475
135,217.27052636342844,173.8164210907432,7.604468422719994
136,217.4676047270701,173.97408378165642,7.611366165447453
137,217.87695894304733,174.30156715443823,7.625693563006654
138,218.30007658033986,174.64006126427213,7.64050268031189
139,218.4503586803115,174.76028694424946,7.645762553810897
140,218.90783104025803,175.12626483220657,7.661774086409018
141,219.13726412106524,175.3098112968523,7.669804244237269
142,219.47845645513996,175.58276516411206,7.6817459759298865
