Plant,Total_Absorbed,Total_Fixed,Total_Growth,Fixed_Eff,Initial_Valid_Cells
Zostera marina,7405.500592753333,5554.125444565001,2.3818645294861924,0.7500000000000002,47
Halophila ovalis,7792.8874579003805,5455.021220530267,1.1103924582113445,0.7000000000000001,50
Posidonia oceanica,5215.32019138103,4276.5625569324475,0.4172466361367314,0.8200000000000006,31
Macrocystis pyrifera,5105.561736022568,4084.4493888180527,2.6203756745247677,0.7999999999999997,32
Saccharina japonica,5242.959502923305,4089.5084122801773,1.2424453819207069,0.7799999999999999,31
Chlorella vulgaris,7298.531232728829,2189.559369818649,7.458182105199799,0.30000000000000004,40
Nannochloropsis gaditana,7336.951213447048,2347.824388303056,4.65678288227467,0.32000000000000006,40
Spartina alterniflora,5774.925308155022,3753.701450300767,0.8292314519564705,0.6500000000000005,19
Rhizophora spp.,6460.831065808085,5814.7479592272775,0.17150435434661881,0.9000000000000001,19
