step,env_eff_sample,nutrient_sample,absorbed_step,fixed_step,growth_step,particle_count,cum_fixed_all,cum_growth_all
<<<<<<< HEAD
0,0.0,0.8,0.0,0.0,0.0,950,0,0
1,0.13004321700841345,0.81675026149168,0.0,0.0,0.0,923,0,0
2,0.0,0.8334711373329262,0.0,0.0,0.0,900,0,0
3,0.16408979500201065,0.5501332934257217,0.2583803259844379,0.20010820341664637,0.0018119394632020963,886,0.20010820341664637,0.0018119394632020965
4,0.0,0.5667074986864409,0.0,0.0,0.0,871,0.20010820341664637,0.0018119394632020965
5,0.15415065349052287,0.5831646763271037,0.5170147925207064,0.3971356494885924,0.0037043231008038655,874,0.5972438529052388,0.005516262564005962
6,0.0,0.599475954865942,0.0,0.0,0.0,866,0.5972438529052388,0.005516262564005962
7,0.04614789879552203,0.6156127187777887,0.2347299656988322,0.16179181563544487,0.002126083546639428,865,0.7590356685406838,0.007642346110645392
8,0.04506822301349982,0.6315466586954332,0.02756174534461485,0.01791513447399965,0.0002756174534461485,859,0.7769508030146834,0.00791796356409154
9,0.0,0.6472498210738712,0.0,0.0,0.0,859,0.7769508030146834,0.00791796356409154
10,0.13718910042159296,0.6626946572303201,0.0471628196937319,0.03338835860870566,0.00040604757755060086,860,0.810339161623389,0.00832401114164214
11,0.0,0.6778540716739709,0.0,0.0,0.0,865,0.810339161623389,0.00832401114164214
12,0.1340343309726842,0.6927014696406861,0.0,0.0,0.0,870,0.810339161623389,0.00832401114164214
13,0.0,0.707210803749252,0.0,0.0,0.0,879,0.810339161623389,0.00832401114164214
14,0.06247021127129462,0.7213566196973377,0.0,0.0,0.0,880,0.810339161623389,0.00832401114164214
15,0.0,0.7351141009169893,0.0,0.0,0.0,887,0.810339161623389,0.00832401114164214
16,0.0,0.7484591121113242,0.0,0.0,0.0,892,0.810339161623389,0.00832401114164214
17,0.08358342798831368,0.7613682415960421,0.0,0.0,0.0,897,0.810339161623389,0.00832401114164214
18,0.0,0.7738188423714755,0.0,0.0,0.0,907,0.810339161623389,0.00832401114164214
19,0.08984948516376974,0.7857890718531213,0.0,0.0,0.0,907,0.810339161623389,0.00832401114164214
20,0.0,0.7972579301909577,0.0,0.0,0.0,918,0.810339161623389,0.00832401114164214
21,0.0531418383393494,0.8082052971103157,0.0,0.0,0.0,932,0.810339161623389,0.00832401114164214
22,0.0,0.8186119672096785,0.0,0.0,0.0,937,0.810339161623389,0.00832401114164214
23,0.0,0.8284596836534817,0.0,0.0,0.0,947,0.810339161623389,0.00832401114164214
