step,total_absorbed_mgC,total_fixed_mgC,total_growth_mgC
107,1.4732646564850496,1.2080770183177398,0.008839587938910291
108,1.4732646564850496,1.2080770183177398,0.008839587938910291
109,1.4732646564850496,1.2080770183177398,0.008839587938910291
110,1.4732646564850496,1.2080770183177398,0.008839587938910291
111,1.4732646564850496,1.2080770183177398,0.008839587938910291
112,1.4732646564850496,1.2080770183177398,0.008839587938910291
113,1.4732646564850496,1.2080770183177398,0.008839587938910291
114,1.4732646564850496,1.2080770183177398,0.008839587938910291
115,1.4732646564850496,1.2080770183177398,0.008839587938910291
116,1.4732646564850496,1.2080770183177398,0.008839587938910291
117,1.4732646564850496,1.2080770183177398,0.008839587938910291
118,1.4732646564850496,1.2080770183177398,0.008839587938910291
119,1.4732646564850496,1.2080770183177398,0.008839587938910291
120,1.4732646564850496,1.2080770183177398,0.008839587938910291
121,1.4732646564850496,1.2080770183177398,0.008839587938910291
122,1.4732646564850496,1.2080770183177398,0.008839587938910291
123,1.4732646564850496,1.2080770183177398,0.008839587938910291
124,1.4732646564850496,1.2080770183177398,0.008839587938910291
125,1.4766828673503816,1.210879951227312,0.008860097204102283
126,1.4766828673503816,1.210879951227312,0.008860097204102283
127,1.478213031581528,1.2121346858968522,0.008869278189489162
128,1.4799620775930729,1.2135689036263189,0.00887977246555843
129,1.4799620775930729,1.2135689036263189,0.00887977246555843
130,1.4866096935517537,1.2190199487124371,0.008919658161310514
131,1.4866096935517537,1.2190199487124371,0.008919658161310514
132,1.4957956795039733,1.2265524571932573,0.008974774077023831
133,1.4957956795039733,1.2265524571932573,0.008974774077023831
134,1.5025325719149014,1.2320767089702185,0.0090151954314894
135,1.5025325719149014,1.2320767089702185,0.0090151954314894
136,1.5025325719149014,1.2320767089702185,0.0090151954314894
137,1.5175252276681583,1.2443706866878892,0.009105151366008942
138,1.5175252276681583,1.2443706866878892,0.009105151366008942
139,1.5397236049101823,1.2625733560263488,0.009238341629461086
140,1.5397236049101823,1.2625733560263488,0.009238341629461086
141,1.5589558126125236,1.2783437663422685,0.009353734875675134
142,1.5589558126125236,1.2783437663422685,0.009353734875675134
143,1.5589558126125236,1.2783437663422685,0.009353734875675134
144,1.5589558126125236,1.2783437663422685,0.009353734875675134
145,1.5589558126125236,1.2783437663422685,0.009353734875675134
146,1.5984653290556468,1.3107415698256295,0.009590791974333874
147,1.5984653290556468,1.3107415698256295,0.009590791974333874
148,1.6336853429251332,1.3396219811986083,0.009802112057550792
149,1.6336853429251332,1.3396219811986083,0.009802112057550792
