step,Zostera marina,Halophila ovalis,Posidonia oceanica,Macrocystis pyrifera,Saccharina japonica,Chlorella vulgaris,Nannochloropsis gaditana,Spartina alterniflora,Rhizophora spp.
63,0.0,0.0,0.0,0.0,0.0,2.3126626517217908,0.45808057052672224,0.8821181346463871,0.517138787506443
64,0.0,0.0,0.0,0.0,0.0,2.3126626517217908,0.45808057052672224,0.8821181346463871,0.517138787506443
65,0.0,0.0,0.0,0.0,0.0,3.2042442916628313,0.45808057052672224,0.8821181346463871,0.517138787506443
66,0.0,0.0,0.0,0.0,0.0,3.2042442916628313,0.45808057052672224,0.8821181346463871,0.517138787506443
67,0.0,0.0,0.0,0.0,0.0,3.558055641728607,0.5577836785491254,0.8821181346463871,0.517138787506443
68,0.0,0.0,0.0,0.0,0.0,3.7927281496639034,0.6458625052598652,0.8821181346463871,0.517138787506443
69,0.0,0.0,0.0,0.0,0.0,3.7927281496639034,0.6458625052598652,0.8821181346463871,0.517138787506443
70,0.0,0.0,0.0,0.0,0.0,5.361980588850534,1.1447133696007485,0.8821181346463871,0.517138787506443
71,0.0,0.0,0.0,0.0,0.0,5.361980588850534,1.1447133696007485,0.8821181346463871,0.517138787506443
72,0.05658268793172683,0.0,0.0,0.0,0.0,7.297691921314212,1.6015882114902311,0.8821181346463871,0.517138787506443
73,0.05658268793172683,0.0,0.0,0.0,0.0,7.297691921314212,1.6015882114902311,0.8821181346463871,0.517138787506443
74,0.05658268793172683,0.0,0.0,0.0,0.0,7.887906665078432,1.6015882114902311,0.8967240552966496,0.5255955699489567
75,0.05658268793172683,0.0,0.0,0.0,0.0,7.887906665078432,1.6015882114902311,0.8967240552966496,0.5255955699489567
76,0.05658268793172683,0.0,0.0,0.0,0.0,7.887906665078432,1.6015882114902311,0.8967240552966496,0.5255955699489567
77,0.05658268793172683,0.0,0.0,0.0,0.0,8.733828154817743,2.0403324098925224,1.009279512419339,0.5920643365809488
78,0.05658268793172683,0.0,0.0,0.0,0.0,8.733828154817743,2.0403324098925224,1.009279512419339,0.5920643365809488
79,0.05658268793172683,0.0,0.0,0.0,0.0,9.425382378208305,2.253802917427903,1.3369327980860906,0.6572456015089678
80,0.05658268793172683,0.0,0.0,0.0,0.0,9.425382378208305,2.253802917427903,1.3369327980860906,0.6572456015089678
81,0.05658268793172683,0.0,0.0,0.0,0.0,9.82021417689601,2.253802917427903,1.3611189606057281,0.6714216337772533
82,0.05658268793172683,0.0,0.0,0.0,0.0,9.82021417689601,2.253802917427903,1.3611189606057281,0.6714216337772533
83,0.05658268793172683,0.0,0.0,0.0,0.0,9.82021417689601,2.253802917427903,1.3611189606057281,0.6714216337772533
84,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,10.02797534191756,2.427953710654042,1.3611189606057281,0.6714216337772533
85,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,10.02797534191756,2.427953710654042,1.3611189606057281,0.6714216337772533
86,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,10.598797030729877,2.427953710654042,1.3611189606057281,0.6714216337772533
87,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,10.598797030729877,2.427953710654042,1.3611189606057281,0.6714216337772533
88,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,10.747798862495355,2.427953710654042,1.3611189606057281,0.6714216337772533
89,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,10.747798862495355,2.427953710654042,1.3611189606057281,0.6714216337772533
90,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,10.747798862495355,2.427953710654042,1.3611189606057281,0.6714216337772533
91,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.003088017186894,2.427953710654042,1.3611189606057281,0.6714216337772533
92,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.003088017186894,2.427953710654042,1.3611189606057281,0.6714216337772533
93,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.029499302370402,2.427953710654042,1.3611189606057281,0.6714216337772533
94,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.029499302370402,2.427953710654042,1.3611189606057281,0.6714216337772533
95,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.064892416536711,2.4889927880426757,1.3611189606057281,0.6714216337772533
96,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.064892416536711,2.4889927880426757,1.3611189606057281,0.6714216337772533
97,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.4889927880426757,1.3611189606057281,0.6714216337772533
98,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.4889927880426757,1.361971520487188,0.6714216337772533
99,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.4889927880426757,1.361971520487188,0.6714216337772533
100,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6736486954032453
101,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6736486954032453
102,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
103,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
104,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
105,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
106,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
107,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
108,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
109,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
110,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
111,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
112,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
113,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
114,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
115,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.077385768922342,2.508920659398987,1.361971520487188,0.6757663564254743
116,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
117,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
118,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
119,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
120,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
121,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
122,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
123,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
124,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
125,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
126,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
127,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
128,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
129,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
130,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
131,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.085426331664793,2.508920659398987,1.361971520487188,0.6757663564254743
132,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.181914183830772,2.508920659398987,1.361971520487188,0.6757663564254743
133,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.181914183830772,2.508920659398987,1.361971520487188,0.6757663564254743
134,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.181914183830772,2.508920659398987,1.361971520487188,0.6757663564254743
135,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.181914183830772,2.508920659398987,1.361971520487188,0.6757663564254743
136,0.05658268793172683,0.0,0.014680063397768171,0.0,0.0,11.181914183830772,2.508920659398987,1.361971520487188,0.6757663564254743
137,0.07180379809744583,0.0,0.014680063397768171,0.0,0.0,11.266986695669216,2.508920659398987,1.361971520487188,0.6757663564254743
138,0.07180379809744583,0.0,0.014680063397768171,0.0,0.0,11.266986695669216,2.508920659398987,1.361971520487188,0.6757663564254743
139,0.09554668335414254,0.0,0.014680063397768171,0.0,0.0,11.38690475414448,2.647471619586133,1.361971520487188,0.6757663564254743
140,0.09554668335414254,0.0,0.014680063397768171,0.0,0.0,11.38690475414448,2.647471619586133,1.361971520487188,0.6757663564254743
141,0.09554668335414254,0.0,0.014680063397768171,0.0,0.0,11.966700520842277,2.647471619586133,1.361971520487188,0.6757663564254743
142,0.09554668335414254,0.0,0.014680063397768171,0.0,0.0,11.966700520842277,2.647471619586133,1.361971520487188,0.6757663564254743
143,0.09554668335414254,0.0,0.014680063397768171,0.0,0.0,11.966700520842277,2.647471619586133,1.361971520487188,0.6757663564254743
144,0.17447276791150926,0.0,0.014680063397768171,0.0,0.0,12.089780741504997,2.647471619586133,1.361971520487188,0.6757663564254743
145,0.17447276791150926,0.0,0.014680063397768171,0.0,0.0,12.089780741504997,2.647471619586133,1.361971520487188,0.6757663564254743
146,0.17447276791150926,0.0,0.014680063397768171,0.0,0.0,14.046353301597804,2.909230517491042,1.395075068392043,0.6757663564254743
147,0.17447276791150926,0.0,0.014680063397768171,0.0,0.0,14.046353301597804,2.909230517491042,1.395075068392043,0.6757663564254743
148,0.2562826037752899,0.0,0.014680063397768171,0.0,0.0,14.821075516245468,2.909230517491042,1.4907452549968099,0.7863577858627475
149,0.2562826037752899,0.0,0.014680063397768171,0.0,0.0,14.821075516245468,2.909230517491042,1.4907452549968099,0.7863577858627475
